meta:config.TRAIN_DIR='data/train',config.BATCH_SIZE=128,config.NUM_EPOCHS=300,config.LEARNING_RATE=0.0001,config.LAMBDA_IDENTITY=0.0,10,300,config.LOAD_MODEL=False,config.N_POINTS=2048
idx,D_loss,G_M_loss,G_F_loss,cycle_loss,G_loss,epoch
0,0.5188762545585632,0.21549050509929657,0.2305377721786499,0.3542293906211853,0.800257682800293,0
1,0.517635703086853,0.22031038999557495,0.23103660345077515,0.3542310893535614,0.8055781126022339,0
2,0.5133045315742493,0.21814590692520142,0.2302524298429489,0.3542312681674957,0.8026295900344849,0
3,0.5146504640579224,0.21611423790454865,0.2323409914970398,0.3542323410511017,0.8026875257492065,0
4,0.5213698744773865,0.21110323071479797,0.2314249575138092,0.35423001646995544,0.7967581748962402,0
5,0.515998363494873,0.2205832600593567,0.23661275207996368,0.35423535108566284,0.811431348323822,0
6,0.505325436592102,0.2206541895866394,0.23547759652137756,0.3542338013648987,0.8103655576705933,0
7,0.5117543935775757,0.22140103578567505,0.23582123219966888,0.3338891267776489,0.791111409664154,0
8,0.5021251440048218,0.22903235256671906,0.24191446602344513,0.33388829231262207,0.8048350811004639,0
9,0.49463921785354614,0.22803695499897003,0.2388107031583786,0.24184706807136536,0.7086946964263916,0
0,0.49220994114875793,0.23049163818359375,0.24568459391593933,0.24219197034835815,0.7183681726455688,1
1,0.4885708689689636,0.2289978265762329,0.2457573562860489,0.19435781240463257,0.6691129803657532,1
2,0.480049729347229,0.22783935070037842,0.248525932431221,0.1943548321723938,0.670720100402832,1
3,0.49027037620544434,0.22561800479888916,0.24839065968990326,0.1677182912826538,0.6417269706726074,1
4,0.47997885942459106,0.23136553168296814,0.25568288564682007,0.1380780041217804,0.6251264214515686,1
5,0.47077712416648865,0.24023956060409546,0.25888383388519287,0.14934895932674408,0.6484723687171936,1
6,0.4777179956436157,0.2473081350326538,0.2534119188785553,0.11858731508255005,0.6193073391914368,1
7,0.4618127942085266,0.25241899490356445,0.2537277042865753,0.09654317051172256,0.6026898622512817,1
8,0.4641701579093933,0.2526155710220337,0.2656930088996887,0.11473515629768372,0.6330437660217285,1
9,0.4625164270401001,0.25253185629844666,0.2647112309932709,0.10130031406879425,0.6185433864593506,1
0,0.4499858617782593,0.2686598300933838,0.263733446598053,0.13009941577911377,0.6624926924705505,2
1,0.4365198016166687,0.26869234442710876,0.28061702847480774,0.10998973995447159,0.6592991352081299,2
2,0.43729275465011597,0.2731209993362427,0.27916914224624634,0.11221468448638916,0.6645048260688782,2
3,0.4283824861049652,0.2780708074569702,0.28345346450805664,0.13632579147815704,0.6978500485420227,2
4,0.42530661821365356,0.2829931974411011,0.28510165214538574,0.15052899718284607,0.7186238765716553,2
5,0.4103308916091919,0.2894207537174225,0.2921803593635559,0.2116967737674713,0.7932978868484497,2
6,0.40782713890075684,0.2984699606895447,0.30536943674087524,0.21148379147052765,0.8153231739997864,2
7,0.3999336361885071,0.3033277690410614,0.30541449785232544,0.2047562450170517,0.8134984970092773,2
8,0.40258246660232544,0.30901601910591125,0.29574912786483765,0.2060982882976532,0.8108634948730469,2
9,0.3909071683883667,0.32055118680000305,0.31894439458847046,0.20084574818611145,0.840341329574585,2
0,0.3862241208553314,0.3211080729961395,0.31945323944091797,0.20818418264389038,0.8487455248832703,3
1,0.3737223148345947,0.3168177008628845,0.31190958619117737,0.1890803873538971,0.817807674407959,3
2,0.3835673928260803,0.33420735597610474,0.3301645517349243,0.16597849130630493,0.830350399017334,3
3,0.3625047206878662,0.3265582323074341,0.3247883915901184,0.19550678133964539,0.8468533754348755,3
4,0.3704187273979187,0.32348090410232544,0.33201777935028076,0.27707481384277344,0.9325734972953796,3
5,0.35747307538986206,0.33216309547424316,0.3409874439239502,0.3174171447753906,0.990567684173584,3
6,0.34836119413375854,0.3422139286994934,0.35192012786865234,0.365016907453537,1.0591509342193604,3
7,0.34782928228378296,0.3349894881248474,0.3355080485343933,0.35729408264160156,1.0277916193008423,3
8,0.3367336392402649,0.3478128910064697,0.3654775023460388,0.5319408178329468,1.2452311515808105,3
9,0.3481661081314087,0.35638245940208435,0.3480416536331177,0.5649300217628479,1.2693541049957275,3
0,0.32540076971054077,0.3820648789405823,0.3820844888687134,0.5198264122009277,1.2839758396148682,4
1,0.32567480206489563,0.3632798492908478,0.3666398227214813,0.531843900680542,1.261763572692871,4
2,0.3130064010620117,0.37853968143463135,0.3836127817630768,0.5302326679229736,1.2923851013183594,4
3,0.3041301965713501,0.37225428223609924,0.3943866491317749,0.5920572280883789,1.3586981296539307,4
4,0.3030376732349396,0.3849317133426666,0.3780122399330139,0.5041342377662659,1.267078161239624,4
5,0.30042600631713867,0.3887478709220886,0.38795706629753113,0.5041314363479614,1.2808363437652588,4
6,0.2882726490497589,0.4045216143131256,0.38589251041412354,0.4170421361923218,1.2074562311172485,4
7,0.29910412430763245,0.3911161422729492,0.3920690417289734,0.3386497497558594,1.1218349933624268,4
8,0.2963915467262268,0.3890833854675293,0.40817052125930786,0.29770714044570923,1.0949610471725464,4
9,0.3035867214202881,0.4008086621761322,0.4060392379760742,0.26957547664642334,1.0764234066009521,4
0,0.28572922945022583,0.37139892578125,0.4184759259223938,0.3865686357021332,1.1764434576034546,5
1,0.30195313692092896,0.3931276798248291,0.4299895167350769,0.5040392279624939,1.3271564245224,5
2,0.27630066871643066,0.4002076983451843,0.42931893467903137,0.5057346820831299,1.335261344909668,5
3,0.29160863161087036,0.38474375009536743,0.41927993297576904,0.579099178314209,1.3831229209899902,5
4,0.27958863973617554,0.37974223494529724,0.4215551018714905,0.7005168199539185,1.5018141269683838,5
5,0.2678125500679016,0.4014871120452881,0.43769708275794983,0.8149833083152771,1.6541674137115479,5
6,0.281885027885437,0.39457112550735474,0.41828712821006775,0.7797504663467407,1.5926086902618408,5
7,0.27769866585731506,0.4060245454311371,0.444939523935318,0.5909957885742188,1.4419598579406738,5
8,0.2638300061225891,0.4113825261592865,0.44877713918685913,0.4914454221725464,1.3516050577163696,5
9,0.26860177516937256,0.3967464566230774,0.4475224018096924,0.46118873357772827,1.305457592010498,5
0,0.2667522728443146,0.3987969160079956,0.4470972418785095,0.6702800989151001,1.51617431640625,6
1,0.2700483798980713,0.4140443801879883,0.4539661109447479,0.9256213903427124,1.793631911277771,6
2,0.28249624371528625,0.30464011430740356,0.4699132442474365,1.061913251876831,1.8364665508270264,6
3,0.24551768600940704,0.42207247018814087,0.47272080183029175,1.1471259593963623,2.041919231414795,6
4,0.250438928604126,0.4430461525917053,0.46523380279541016,1.0975103378295898,2.0057902336120605,6
